SiteNum,Site,ELEV,LAT,LONG,Mean01,Mean02,Mean03,Mean04,Mean05,Mean06,Mean07,Mean08,Mean09,Mean10,Mean11,Mean12,Mean13
348,MASON,1430,30.75,99.23,45.4,49.5,57.3,65.1,72.3,78.9,82,81.1,75.8,66,55.6,47.4,64.7
349,MATADOR,2290,34.02,100.83,40.2,44.9,52.5,61.2,69.6,77.8,82.2,80.5,73,63.2,50.8,42.3,61.5
350,MATAGORDA 2,10,28.68,95.97,53.3,56,61.9,69,75.7,81.3,83.4,83.5,80,72.7,63.1,56.1,69.7
351,MATHIS 4 SSW,138,28.03,97.87,54.7,58.3,65.1,71.4,77.4,82.1,84,84.3,80.7,73.2,64.1,56.9,71
353,MCALLEN,100,26.2,98.25,58.7,62.3,69.3,74.5,79.8,83.8,85.1,85.7,82.2,75.6,67.5,60.2,73.7
354,MCALLEN MILLER INTL AP         MFE,100,26.18,98.23,60.1,63.8,70.8,75.8,80.9,84.5,85.9,86.1,82.7,76.4,68.4,61.6,74.8
355,MCCAMEY,2450,31.13,102.2,46.9,51.9,59.3,67.2,75.3,81.6,83.8,82.6,76.8,67.7,56,48.2,66.4
356,MC COOK,220,26.48,98.38,57.9,61.9,69.1,74.7,80.1,84.1,85.7,85.8,82.1,75.2,67,59.6,73.6
357,MEDINA 2 W                     T87,1705,29.78,99.28,47.2,51.3,58.6,65.5,73,79,81.4,81.3,76.7,67.3,57,49.2,65.6
358,MCGREGOR,723,31.43,97.4,45,49.7,57.3,64.9,72.7,79.8,83.9,83.7,77.3,67.3,55.9,47.4,65.4
359,MC KINNEY 3 S,595,33.17,96.62,41.8,46.5,53.9,62.3,70.5,78.1,82.4,81.6,74.8,64.4,52.8,44.5,62.8
360,MC LEAN,2860,35.23,100.6,37.6,42.7,50.8,59.4,67.5,75.3,79.5,78.2,71.5,61.1,48.2,39.5,59.3
361,MEMPHIS,2090,34.73,100.53,38.8,43.6,51.2,60,69.2,77.7,82.6,81,73.4,62.5,49.5,40.8,60.9
362,MENARD,1951,30.92,99.78,45.6,50.2,57.9,65.3,73,78.6,81.4,80.4,74.7,65.5,54.4,46.9,64.5
366,MEXIA,535,31.68,96.48,45.6,50.3,57.9,65.2,72.7,79.7,83.7,83.6,77.7,67.5,56.5,48,65.7
367,MIAMI,2755,35.7,100.63,33.6,38.3,46.3,55.4,64.7,74.2,79.4,77.8,69.6,57.7,44.4,35.6,56.4
368,MIDLAND INTL AP                MAF,2862,31.95,102.18,43.2,48.6,55.9,63.7,72.8,79.6,81.7,80.4,73.9,64.4,52.3,44.8,63.4
369,MIDLAND 4 ENE,2740,32.02,102.03,44.5,49.8,57.3,65.1,73.6,79.8,81.8,80.5,74.5,65.4,53.2,45.9,64.3
372,MINEOLA 8 ENE,385,32.72,95.37,42.8,47.5,54.9,62.3,71.2,78.3,82,81.3,75,64.6,53.4,45.3,63.2
373,MINERAL WELLS AP               MWL,930,32.78,98.07,45.8,50.9,59.3,66.4,74.1,80.8,84.8,84.2,77.5,67.9,56.1,47.6,66.3
